id;total_amount;description;invoice_number;generated_date;due_date;payment_date;invoice_status;tax;attribute_1;attribute_2;attribute_3;attribute_4;attribute_5;attribute_6;attribute_7;created_date;last_updated_date;client_id;has_extra_data
1;Texas Concrete;FTP;2770ef83-3db7-44ac-80cc-f9cd1e4ae2fc;2021-01-20T23:12:59;2021-01-21T01:45:54;2021-01-21T09:27:02;PAID;Borders Soap Checking Account;Baby;lime program;1080p Engineer intuitive;Division Handcrafted;back-end Money Market Account Legacy;transmitting EXE parse;Gloves Jamaican Dollar;2021-01-20T18:10:17;2021-01-20T22:37:09;92472;false
2;iterate;Games HTTP Director;34195e35-e175-4e05-bf7b-fed1c08e7402;2021-01-20T11:27:01;2021-01-20T13:24:20;2021-01-20T14:59:27;CREATED;Forward;Ergonomic Concrete Salad Alaska Colorado;Auto Loan Account Small Rubber Pants;Generic Wooden Hat end-to-end unleash;copying Handmade;Small Rubber Salad Oklahoma;Home Loan Account Handcrafted Steel Ball;tan Cambridgeshire Rubber;2021-01-20T16:36:02;2021-01-20T12:22:17;76107;false
3;Malawi sticky;Bedfordshire deploy;d19a3fbb-d80d-46d6-b609-aa05e96e4240;2021-01-20T20:32:27;2021-01-21T00:54:33;2021-01-21T09:38:32;PAID;value-added;Granite Rubber Pizza;haptic Money Market Account Devolved;Internal Small Cotton Table;Rustic Fresh Bacon Mall;Soap transmit;utilize Dynamic;Hat Money Market Account;2021-01-21T05:22:20;2021-01-20T21:35:14;86392;true
4;feed Tasty Fresh Chicken;Handcrafted Rustic Wooden Computer;0c7e93f3-a1b7-4171-8083-c7d5387e8c5a;2021-01-21T08:20:54;2021-01-20T20:52:03;2021-01-20T16:31:46;CREATED;Savings Account New Jersey Rustic;Principal attitude-oriented Tools;web-readiness;matrix red Oval;payment;CSS;Granite Dong Kids;Keyboard rich;2021-01-21T01:38:18;2021-01-21T07:00:58;75273;true
5;Investor standardization Practical Fresh Fish;Lane;f65c34f6-47a3-4d56-82c8-de95680456da;2021-01-21T01:51:52;2021-01-20T11:40:54;2021-01-21T03:41:40;CREATED;Stand-alone;Unbranded Steel;withdrawal;intranet payment SCSI;generating Tasty Cotton Bacon;Outdoors Central;South Carolina;invoice;2021-01-21T04:02:21;2021-01-20T21:46:29;44032;false
6;dedicated Sleek architecture;systems;c368e1df-da62-45eb-8a89-33de903b1310;2021-01-20T23:31:26;2021-01-20T16:49:29;2021-01-21T06:52:34;CREATED;indexing;Cotton;Principal;calculate indigo Centralized;bluetooth Agent silver;Forward schemas Developer;RSS;Pants;2021-01-21T00:18:27;2021-01-20T22:26:49;25384;true
7;ADP Grocery;Cambridgeshire;b83614bf-48ba-4476-b447-09b39c76fb85;2021-01-20T21:14:54;2021-01-20T11:26:25;2021-01-21T09:24:02;PAID;connecting Virtual;Implementation payment;Accounts;Computer calculating;Licensed;Yemen;Buckinghamshire bypass;SMS Gateway adapter;2021-01-20T18:01:29;2021-01-20T19:41:34;56715;false
8;functionalities indigo;blue;c1155d72-94a3-45b3-9d27-ceeaa0a344d2;2021-01-20T12:59:09;2021-01-20T17:02:36;2021-01-21T05:25:21;CREATED;Music TCP;Central Serbian Dinar;Steel;overriding visualize generate;Qatari Rial Persevering;zero tolerance AGP;Practical Granite Fish;Cotton Money Market Account;2021-01-21T09:32:27;2021-01-21T01:14:56;26260;false
9;invoice calculating;Course navigating;48dd13ab-cb74-4da7-9155-9469cb34b617;2021-01-21T05:12:57;2021-01-20T20:14:07;2021-01-20T21:17:38;PAID;Unbranded Cotton Tuna strategic SMTP;revolutionize;Dynamic;paradigm e-tailers indigo;experiences EXE Borders;hack Paradigm;optical Keyboard;Metal calculating;2021-01-20T21:49:25;2021-01-20T16:07:25;856;false
10;Credit Card Account Clothing;Concrete Savings Account;a4774090-ab36-408b-967d-4523e952dc7c;2021-01-20T21:02:17;2021-01-21T10:09:03;2021-01-21T06:06:43;CREATED;haptic;driver;core Cambridgeshire;Fish definition;deposit;compress;Keyboard;Small eyeballs;2021-01-20T17:10:52;2021-01-20T16:10:50;72843;true
