id;description;start_date;end_date;employee_holiday_type;approved_date;requested_date;holiday_status;note;rejection_reason;created_date;last_updated_date;client_id;has_extra_data
1;virtual Shoes;2021-01-20T11:57:40;2021-01-20T23:55:39;UNPAID_HOLIDAY;2021-01-20T11:21:18;2021-01-21T06:38:12;REQUESTED;Awesome;Personal Loan Account;2021-01-20T17:58:32;2021-01-20T20:19:50;14108;true
2;Supervisor California solution-oriented;2021-01-21T08:48:46;2021-01-20T18:57:53;UNPAID_HOLIDAY;2021-01-20T18:06:52;2021-01-21T08:51:58;REQUESTED;eyeballs implementation migration;Dynamic Internal;2021-01-20T10:57:54;2021-01-20T14:23:13;92591;true
3;Hat schemas copying;2021-01-21T04:35:14;2021-01-21T10:25:05;ANNUAL_HOLIDAY;2021-01-20T21:31:54;2021-01-21T02:30:11;REQUESTED;next-generation Moldovan Leu Supervisor;non-volatile China;2021-01-21T10:15:03;2021-01-20T17:12:51;18238;true
4;Grenada International Dalasi;2021-01-21T08:36:22;2021-01-20T21:27:28;OTHER;2021-01-21T09:03:24;2021-01-21T10:25:13;REQUESTED;Licensed Frozen Soap drive Metal;Mandatory Texas;2021-01-20T15:42:15;2021-01-21T10:36:40;25603;true
5;24/7 Industrial;2021-01-20T15:05:48;2021-01-20T18:35:43;OTHER;2021-01-21T07:05:23;2021-01-21T09:03:26;REJECTED;Generic Metal Bike;Syrian Pound;2021-01-20T12:54:01;2021-01-21T06:06:14;37412;false
6;Sudanese Pound;2021-01-21T05:27:14;2021-01-21T05:05:45;ANNUAL_HOLIDAY;2021-01-20T19:26:26;2021-01-20T11:53:30;REQUESTED;Liaison Interactions zero defect;Table Handcrafted Sports;2021-01-20T14:00:18;2021-01-20T14:30:26;51570;false
7;Auto Loan Account;2021-01-21T07:05:36;2021-01-20T16:55:05;SICKNESS_ABSENCE;2021-01-20T23:26:06;2021-01-21T06:26:36;REJECTED;Associate;Computers high-level budgetary management;2021-01-20T21:59:55;2021-01-21T04:17:44;42636;true
8;SMS;2021-01-21T03:54:41;2021-01-21T08:04:03;UNPAID_HOLIDAY;2021-01-20T10:52:48;2021-01-20T20:40:38;REQUESTED;Alaska;Auto Loan Account programming;2021-01-21T04:41:16;2021-01-20T16:20:46;15219;true
9;Fish;2021-01-20T12:56:02;2021-01-20T15:36:25;PARENTAL_LEAVE;2021-01-20T15:15:27;2021-01-21T00:10:45;REJECTED;Iran Checking Account JBOD;open-source;2021-01-20T21:09:24;2021-01-20T19:38:43;9967;false
10;transparent Armenian Dram;2021-01-20T15:32:51;2021-01-21T07:39:34;OTHER;2021-01-20T22:15:40;2021-01-20T11:51:28;REJECTED;Agent Gorgeous Sports;Luxembourg Tasty;2021-01-21T09:16:13;2021-01-20T20:38:56;34362;true
