id;tenant_name;tenant_description;tenant_logo;tenant_logo_content_type;tenant_logo_url;tenant_contact_name;tenant_phone;tenant_email;created_date;last_updated_date
1;Representative;payment Avon;../fake-data/blob/hipster.png;image/png;harness technologies;Kentucky violet Shoes;feed bypassing matrix;Fresh Flats revolutionize;2020-11-19T01:04:59;2020-11-18T19:07:37
2;Beauty Practical Concrete;Senior Profound;../fake-data/blob/hipster.png;image/png;Grocery Steel content-based;high-level quantifying;program Dynamic;Kentucky Cambridgeshire Falkland Islands Pound;2020-11-18T23:15:07;2020-11-19T00:38:34
3;Sausages Home Loan Account;Sports;../fake-data/blob/hipster.png;image/png;collaborative;monitor Kentucky;Shirt Bacon;overriding networks web-enabled;2020-11-18T20:53:32;2020-11-18T07:33:14
4;user-centric;Points Soft Beauty;../fake-data/blob/hipster.png;image/png;front-end Ball;Checking Account Mobility Gorgeous Cotton Keyboard;Decentralized Sports;Pound Sterling;2020-11-18T19:31:24;2020-11-18T20:11:39
5;clicks-and-mortar Consultant Dong;HTTP;../fake-data/blob/hipster.png;image/png;Underpass Senior Kazakhstan;platforms Refined Rubber Salad innovate;architect Implementation Jewelery;Washington Mongolia;2020-11-19T00:28:23;2020-11-18T09:18:12
6;Steel Belarussian Ruble sky blue;Cross-group;../fake-data/blob/hipster.png;image/png;process improvement hybrid;Fish Comoros Fresh;scalable;Flat Corporate productize;2020-11-18T20:08:41;2020-11-18T16:13:52
7;withdrawal override Rustic;systems IB Metal;../fake-data/blob/hipster.png;image/png;gold metrics;Auto Loan Account Checking Account;Sausages Avon Cambridgeshire;Iran Solutions;2020-11-18T07:33:55;2020-11-18T13:55:58
8;application Montserrat Future;RSS;../fake-data/blob/hipster.png;image/png;Metal Soft;interface Customizable seamless;Knolls interactive encoding;Delaware connect infrastructure;2020-11-18T10:54:29;2020-11-19T00:49:55
9;Bosnia and Herzegovina Cove ROI;Home Loan Account;../fake-data/blob/hipster.png;image/png;navigate;synthesizing;Sports;San Marino Personal Loan Account;2020-11-18T12:10:24;2020-11-19T02:27:39
10;implement Assistant eyeballs;withdrawal CSS envisioneer;../fake-data/blob/hipster.png;image/png;Philippines;composite Games Mobility;Orchestrator;Expanded;2020-11-18T08:09:43;2020-11-18T18:25:13
